4/23 10:17:21  step===25750, Epoch 8/1000, accuracy = 0.346,avg_train_cost = 0.337, lastbatch_err = 0.362, time = 129.359,lr=0.00777822
4/23 10:18:34  step===25800, Epoch 8/1000, accuracy = 0.361,avg_train_cost = 0.349, lastbatch_err = 0.363, time = 202.579,lr=0.00777822
4/23 10:19:47  step===25850, Epoch 9/1000, accuracy = 0.359,avg_train_cost = 0.211, lastbatch_err = 0.363, time = 34.675,lr=0.00777822
4/23 10:21:0  step===25900, Epoch 9/1000, accuracy = 0.384,avg_train_cost = 0.221, lastbatch_err = 0.338, time = 107.727,lr=0.00777822
4/23 10:22:13  step===25950, Epoch 9/1000, accuracy = 0.333,avg_train_cost = 0.269, lastbatch_err = 0.382, time = 180.534,lr=0.00777822
4/23 10:23:26  step===26000, Epoch 10/1000, accuracy = 0.352,avg_train_cost = 0.315, lastbatch_err = 0.363, time = 13.339,lr=0.00770043
4/23 10:24:39  step===26050, Epoch 10/1000, accuracy = 0.352,avg_train_cost = 0.272, lastbatch_err = 0.374, time = 85.980,lr=0.00770043
4/23 10:25:52  step===26100, Epoch 10/1000, accuracy = 0.352,avg_train_cost = 0.277, lastbatch_err = 0.363, time = 159.051,lr=0.00770043
4/23 10:27:4  step===26150, Epoch 10/1000, accuracy = 0.370,avg_train_cost = 0.263, lastbatch_err = 0.353, time = 231.761,lr=0.00770043
4/23 10:28:17  step===26200, Epoch 11/1000, accuracy = 0.377,avg_train_cost = 0.166, lastbatch_err = 0.347, time = 59.319,lr=0.00770043
4/23 10:29:30  step===26250, Epoch 11/1000, accuracy = 0.370,avg_train_cost = 0.150, lastbatch_err = 0.355, time = 132.107,lr=0.00770043
4/23 10:30:43  step===26300, Epoch 11/1000, accuracy = 0.352,avg_train_cost = 0.152, lastbatch_err = 0.368, time = 205.128,lr=0.00770043
4/23 10:31:56  step===26350, Epoch 12/1000, accuracy = 0.373,avg_train_cost = 0.128, lastbatch_err = 0.340, time = 37.386,lr=0.00770043
4/23 10:42:50  step===26350, Epoch 1/1000, accuracy = 0.361,avg_train_cost = 0.121, lastbatch_err = 0.348, time = 87.524,lr=0.00770043
